id,Province_id,Province,Year, Waste , Visitor , Population , Waste_Head , Waste_Pop , Waste_Visitor , %Waste_Pop , %Waste_Visitor , %Waste_Visitor by Waste_Pop , Proper_Disposal , %Proper_Disposal 
1,TH81,Krabi,2557,201244,4735217,456811,1.09,499.56,51.80,90.61,9.39,10.37,104920.00,52.14
2,TH10,Bangkok Metropolis,2557,3942000,50972772,5692284,1.76,10015.98,784.02,92.74,7.26,7.83,3942000.00,100.00
3,TH71,Kanchanaburi,2557,291157,6641111,848198,0.91,772.53,25.16,96.85,3.15,3.26,53496.00,18.37
4,TH46,Kalasin,2557,349172,535325,984907,0.97,954.03,2.60,99.73,0.27,0.27,140298.00,40.18
5,TH62,Kamphaeng Phet,2557,259756,625772,729522,0.97,708.91,2.75,99.61,0.39,0.39,117222.00,45.13
6,TH40,Khon Kaen,2557,667692,3669884,1790049,1.01,1808.41,20.89,98.86,1.14,1.16,225459.00,33.77
7,TH22,Chanthaburi,2557,215450,1700799,527350,1.10,580.74,9.53,98.39,1.61,1.64,117902.00,54.72
8,TH24,Chachoengsao,2557,305066,2794003,695478,1.19,824.94,10.86,98.70,1.30,1.32,31532.00,10.34
9,TH20,Chon Buri,2557,875191,10843412,1421425,1.59,2262.21,135.58,94.35,5.65,5.99,446847.00,51.06
10,TH18,Chai Nat,2557,131791,523053,332283,1.08,358.88,2.19,99.39,0.61,0.61,76347.00,57.93
11,TH36,Chaiyaphum,2557,391308,1321065,1137049,0.94,1067.11,4.97,99.54,0.46,0.47,123257.00,31.50
12,TH86,Chumphon,2557,135083,1203977,500575,0.73,364.50,5.59,98.49,1.51,1.53,15863.00,11.74
13,TH57,Chiang Rai,2557,413625,2869008,1207699,0.92,1115.12,18.10,98.40,1.60,1.62,203618.00,49.23
14,TH50,Chiang Mai,2557,619757,8665502,1678284,0.98,1636.68,61.28,96.39,3.61,3.74,474851.00,76.62
15,TH92,Trang,2557,261358,1308968,638746,1.11,707.41,8.64,98.79,1.21,1.22,112238.00,42.94
16,TH23,Trat,2557,89475,1742621,224730,1.02,229.73,15.40,93.72,6.28,6.71,42125.00,47.08
17,TH63,Tak,2557,245142,1757187,539553,1.22,660.54,11.08,98.35,1.65,1.68,63266.00,25.81
18,TH26,Nakhon Nayok,2557,91958,2438502,257300,0.94,242.41,9.53,96.22,3.78,3.93,54117.00,58.85
19,TH73,Nakhon Pathom,2557,354477,3016431,891071,1.08,959.78,11.39,98.83,1.17,1.19,192830.00,54.40
20,TH48,Nakhon Phanom,2557,234072,913138,713341,0.89,637.71,3.58,99.44,0.56,0.56,66291.00,28.32
