year,tourist,excursionist,population,visitorequivalentpopulation,wasteperyear,wasteperdayperhead
2557,145578269,81648230,65124716,1476066 ,26199171,1.078
2558,159191352,89882859,65729098,1598291 ,26854357,1.093
2559,170026833,97585805,65931550,1734713 ,27057269,1.096
2560,184094768,105728515,66188503,1858255 ,27373540,1.102
2561,192474950,110544262,66413979,1921760 ,27933023,1.120
2562,205933808,119025650,67990000,2058198 ,28295882,1.107
2563,219756706,127700291,68128000,2198228 ,28668444,1.117
2564,234515186,137011198,68245000,2347871 ,29045912,1.127
2565,250273049,147005279,68342000,2507791 ,29428349,1.138
2566,267098476,157732913,68417000,2678699 ,29815822,1.149
,,,,,,
